Category,Product Name,Current Price,Original Price,Product URL
Food Cupboard,Knorr Soft Cube Beef Chilli Seasoning 6'S,KES 100,No discount,https://naivas.online/knorr-soft-cube-beef-chilli-seasoning-6-s
Food Cupboard,Ajab Fortified Atta Mark 1 2 Kg,KES 162,KES 172,https://naivas.online/ajab-fortified-atta-mark-1-2-kg
Food Cupboard,Tropical H/Kenyan Chevda 50G Foil,KES 65,No discount,https://naivas.online/tropical-heat-kenyan-chevda-50g
Food Cupboard,Kenylon Baked Beans In Tomato Sauce 420g,KES 135,KES 169,https://naivas.online/kenylon-baked-beans-in-tomato-sauce-420g
Food Cupboard,Morning Harvest Jumbo Oats 1Kg,KES 335,KES 419,https://naivas.online/morning-harvest-jumbo-oats-1kg
Food Cupboard,Royco Mchuzi Mix Beef 500g,KES 340,No discount,https://naivas.online/royco-mchuzi-mix-beef-500g
Food Cupboard,Rinsun Sunflower Oil 5L,"KES 1,719","KES 1,875",https://naivas.online/rinsun-sunflower-oil-5l
Food Cupboard,Nala Chicken Noodle 120G,KES 36,KES 45,https://naivas.online/nala-chicken-noodle-120-g
Food Cupboard,Cil Aromatic Brown Rice 1Kg,KES 349,No discount,https://naivas.online/cil-aromatic-brown-rice-1kg
Food Cupboard,Tropical Heroes S/Vinegar Crisps 40G,KES 49,KES 60,https://naivas.online/tropical-heroes-salted-vinegar-crisps-40-g
Food Cupboard,Kenylon Baked Beans In Tomato Sauce 300g,KES 99,KES 119,https://naivas.online/kenylon-baked-beans-in-tomato-sauce-300g
Food Cupboard,Prestige Margarine Vanilla 1 Kg,KES 449,KES 495,https://naivas.online/prestige-margarine-vanilla-1-kg
Food Cupboard,Ranee Spaghetti Premium 400 g,KES 140,No discount,https://naivas.online/ranee-spaghetti-premium-400-g
Food Cupboard,Cil Pishori Aromatic Rice 5Kg,"KES 1,499",No discount,https://naivas.online/cil-pishori-aromatic-rice-5kg
Food Cupboard,Knorr Soft Cube Chicken Seasoning 6'S,KES 100,No discount,https://naivas.online/knorr-soft-cube-chicken-seasoning-6-s
Food Cupboard,Tropical Heat Pure Ground Tea Masala 100g,KES 290,No discount,https://naivas.online/tropical-heat-pure-ground-tea-masala-100g
Food Cupboard,Farmnaivas Yellow Beans 1Kg,KES 269,No discount,https://naivas.online/farmnaivas-yellow-beans-1kg
Food Cupboard,Tropical Heroes C/Onions Crisps 40G,KES 49,KES 60,https://naivas.online/tropical-heroes-cheese-onions-crisps-40-g
Food Cupboard,Santa Lucia Spirals 500g,KES 290,KES 389,https://naivas.online/santa-lucia-spirals-500g
Food Cupboard,Rina Vegetable Oil 3L,KES 849,"KES 1,060",https://naivas.online/rina-vegetable-oil-3l
Food Cupboard,Isinya Eggs 20 Pieces,KES 405,No discount,https://naivas.online/isinya-eggs-20-pieces
Food Cupboard,Daawat Long Grain Rice 2Kg,KES 340,KES 345,https://naivas.online/daawat-long-grain-rice-2kg
Food Cupboard,Amana Ndengu 1Kg,KES 235,No discount,https://naivas.online/amana-ndengu-1kg
Food Cupboard,Isinya Eggs 12 Pieces,KES 249,No discount,https://naivas.online/isinya-eggs-12-pieces
Food Cupboard,Proctor & Allan Corn Flakes 1Kg,KES 700,No discount,https://naivas.online/proctor-allan-corn-flakes-1kg
Food Cupboard,Tropical Heat Ginger Ground Jar 100g,KES 230,No discount,https://naivas.online/tropical-heat-ginger-ground-jar-100g
Food Cupboard,Santa Maria Tomato Paste70G,KES 45,No discount,https://naivas.online/santa-maria-tomato-paste70g
Food Cupboard,Avena Vegetable Oil 5L,"KES 1,599","KES 1,610",https://naivas.online/avena-vegetable-oil-5l
Food Cupboard,Weetabix Cornflakes 750 g,"KES 1,095",No discount,https://naivas.online/weetabix-cornflakes-750-g
Food Cupboard,Krackles Potato Crisps Tangy Tomato 125g,KES 200,No discount,https://naivas.online/krackles-potato-crisps-tangy-tomato-125g
